freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EMP,AT	4.0 	4.0 	4.1 	4.1 	4.2 	4.2 	3.8 	3.9 b
A,PC_EMP,AT1	5.2 	5.0 	5.4 	5.4 	5.6 	5.4 	5.0 	5.2 b
A,PC_EMP,AT11	2.6 u	2.4 u	2.7 u	: u	2.9 u	2.7 u	2.3 u	: bu
A,PC_EMP,AT12	3.3 	2.6 	3.0 	3.6 	3.5 	3.5 	3.0 	2.9 b
A,PC_EMP,AT13	7.5 	7.8 	8.1 	7.8 	8.0 	7.6 	7.3 	7.8 b
A,PC_EMP,AT2	2.6 	2.8 	3.1 	2.7 	2.9 	3.0 	2.8 	3.0 b
A,PC_EMP,AT21	2.7 	2.8 	3.1 	2.7 	2.8 	2.8 	2.8 	2.6 b
A,PC_EMP,AT22	2.6 	2.9 	3.0 	2.8 	3.0 	3.0 	2.8 	3.2 b
A,PC_EMP,AT3	3.4 	3.4 	3.1 	3.3 	3.3 	3.4 	3.0 	3.0 b
A,PC_EMP,AT31	2.4 	2.9 	2.7 	2.9 	2.8 	2.8 	2.2 	2.3 b
A,PC_EMP,AT32	4.5 	4.3 	3.8 	3.6 	3.6 	4.0 	4.1 	4.5 b
A,PC_EMP,AT33	4.2 	3.6 	3.2 	3.8 	4.0 	4.2 	3.3 	3.1 b
A,PC_EMP,AT34	4.1 	3.9 	3.7 	3.6 	3.3 	3.1 	3.4 	3.3 b
A,PC_EMP,BE	4.1 	4.0 	3.9 	4.3 b	4.3 b	4.2 	4.5 	4.3 b
A,PC_EMP,BE1	7.7 	7.4 	7.7 	7.9 b	8.1 b	7.4 	8.4 	8.8 b
A,PC_EMP,BE10	7.7 	7.4 	7.7 	7.9 b	8.1 b	7.4 	8.4 	8.8 b
A,PC_EMP,BE2	3.7 	3.7 	3.4 	3.8 b	3.8 b	3.9 	4.0 	3.7 b
A,PC_EMP,BE21	4.0 	4.2 	3.5 	4.2 b	4.1 b	4.6 	5.3 	4.8 b
A,PC_EMP,BE22	2.7 	2.8 	2.7 	2.4 b	1.9 b	2.7 	2.8 	2.6 b
A,PC_EMP,BE23	4.1 	3.9 	4.2 	4.5 b	4.9 b	4.3 	3.9 	4.2 b
A,PC_EMP,BE24	4.3 	3.8 	3.9 	3.7 b	4.0 b	3.8 	4.0 	3.5 b
A,PC_EMP,BE25	3.1 	3.1 	2.4 	3.1 b	3.0 b	3.0 	2.9 	2.6 b
A,PC_EMP,BE3	3.6 	3.5 	3.6 	4.1 b	4.2 b	4.0 	4.1 	4.1 b
A,PC_EMP,BE31	5.2 	5.6 	5.0 	7.7 b	7.0 b	5.9 	5.5 	6.0 b
A,PC_EMP,BE32	3.0 	2.5 	3.0 	3.6 b	3.3 b	3.2 	3.0 	3.3 b
A,PC_EMP,BE33	4.0 	3.9 	4.4 	3.9 b	4.0 b	4.2 	5.0 	4.5 b
A,PC_EMP,BE34	3.7 u	3.0 u	3.4 u	3.6 bu	3.7 bu	2.9 u	3.3 u	3.0 bu
A,PC_EMP,BE35	2.9 	3.6 	2.6 u	3.0 b	4.2 b	4.3 	4.2 	4.0 b
A,PC_EMP,BG	2.8 	2.9 	2.9 	2.8 	2.7 	2.7 b	2.9 	3.0 b
A,PC_EMP,BG3	1.8 	2.2 	2.2 	2.0 	2.0 	2.0 b	2.0 	1.9 b
A,PC_EMP,BG31	1.7 u	1.6 u	1.7 u	1.5 u	1.7 u	1.7 bu	1.7 u	1.8 bu
A,PC_EMP,BG32	1.9 u	1.8 u	2.3 	2.5 	2.4 	2.2 b	1.9 u	2.1 b
A,PC_EMP,BG33	1.8 u	2.4 	2.2 	1.9 	1.7 	2.1 b	2.4 	2.1 b
A,PC_EMP,BG34	1.8 u	2.7 	2.6 	2.0 	2.1 	2.1 b	1.9 	1.7 b
A,PC_EMP,BG4	3.6 	3.5 	3.5 	3.5 	3.4 	3.3 b	3.8 	3.9 b
A,PC_EMP,BG41	4.5 	4.4 	4.5 	4.5 	4.2 	4.1 b	5.0 	4.9 b
A,PC_EMP,BG42	2.2 	1.9 	1.8 	1.8 	2.0 	2.0 b	1.8 	2.2 b
A,PC_EMP,CH	5.3 	5.5 	5.4 	5.3 	5.3 	5.4 	5.1 	4.9 b
A,PC_EMP,CH0	5.3 	5.5 	5.4 	5.3 	5.3 	5.4 	5.1 	4.9 b
A,PC_EMP,CH01	6.6 	6.3 	5.5 	5.8 	6.0 	6.0 	5.7 	5.4 b
A,PC_EMP,CH02	4.7 	4.7 	4.7 	4.6 	4.5 	4.4 	4.1 	4.0 b
A,PC_EMP,CH03	5.1 	5.9 	5.7 	5.2 	5.2 	5.1 	5.4 	5.1 b
A,PC_EMP,CH04	6.7 	6.6 	6.8 	6.9 	7.2 	7.0 	7.0 	6.3 b
A,PC_EMP,CH05	4.0 	4.2 	4.3 	4.1 	4.0 	4.2 	3.8 	3.8 b
A,PC_EMP,CH06	4.0 	4.7 	4.8 	4.5 	4.1 	5.1 	4.3 	4.1 b
A,PC_EMP,CH07	5.9 	6.2 	5.7 	5.7 	6.4 	6.5 	6.2 	5.7 b
A,PC_EMP,CY	3.2 	3.4 b	3.5 	3.5 	3.5 	3.4 	3.2 	3.5 b
A,PC_EMP,CY0	3.2 	3.4 b	3.5 	3.5 	3.5 	3.4 	3.2 	3.5 b
A,PC_EMP,CY00	3.2 	3.4 b	3.5 	3.5 	3.5 	3.4 	3.2 	3.5 b
A,PC_EMP,CZ	3.8 	3.7 	4.1 	3.9 	3.7 	3.6 	3.9 	4.0 b
A,PC_EMP,CZ0	3.8 	3.7 	4.1 	3.9 	3.7 	3.6 	3.9 	4.0 b
A,PC_EMP,CZ01	9.9 	8.4 	10.0 	8.8 	8.9 	8.6 	8.8 	9.3 b
A,PC_EMP,CZ02	3.8 	3.9 	4.1 	4.1 	3.7 	3.7 	4.2 	4.4 b
A,PC_EMP,CZ03	2.7 	3.0 	2.7 	2.3 	2.5 	2.9 	3.3 	3.2 b
A,PC_EMP,CZ04	2.8 	2.6 	3.6 	3.2 	2.2 	2.1 	2.7 	3.1 b
A,PC_EMP,CZ05	2.7 	3.1 	2.8 	3.4 	3.1 	2.8 	3.0 	2.8 b
A,PC_EMP,CZ06	3.2 	3.2 	3.4 	3.6 	3.2 	3.2 	3.2 	2.9 b
A,PC_EMP,CZ07	2.6 	2.2 	2.8 	2.6 	2.8 	2.0 	2.8 	2.7 b
A,PC_EMP,CZ08	2.5 	2.8 	3.1 	2.6 	2.7 	2.9 	2.4 	3.3 b
A,PC_EMP,DE	4.1 	4.1 	4.0 	4.0 	4.0 	4.0 	3.8 bp	3.8 bp
A,PC_EMP,DE1	4.2 	4.0 	3.9 	3.8 	3.8 	3.8 	3.9 bp	3.5 bp
A,PC_EMP,DE11	4.6 	4.5 	4.5 	4.1 	4.1 	4.2 	4.2 bp	3.6 bp
A,PC_EMP,DE12	4.3 	4.0 	3.8 	4.1 	3.7 	3.6 	4.0 bp	3.6 bp
A,PC_EMP,DE13	3.7 	3.7 	3.8 	3.6 	3.5 	3.8 	3.3 bu	3.6 bp
A,PC_EMP,DE14	3.7 	3.6 	3.0 	3.0 	3.3 	3.3 	3.6 bu	3.1 bu
A,PC_EMP,DE2	4.2 	4.2 	4.1 	4.0 	4.0 	3.9 	3.5 bp	3.9 bp
A,PC_EMP,DE21	5.9 	5.9 	5.8 	5.6 	5.7 	5.3 	4.6 bp	5.6 bp
A,PC_EMP,DE22	2.2 	2.1 	2.2 	2.2 	2.3 	2.6 	: bu	: bu
A,PC_EMP,DE23	2.4 	2.7 	2.7 	3.1 	2.5 	3.0 	: bu	: bu
A,PC_EMP,DE24	2.9 	3.1 	3.3 	2.6 	2.7 	2.7 	: bu	: bu
A,PC_EMP,DE25	3.8 	3.9 	3.8 	3.4 	3.6 	3.8 	: bu	3.3 bu
A,PC_EMP,DE26	3.4 	3.2 	3.2 	3.2 	2.8 	2.7 	: bu	: bu
A,PC_EMP,DE27	3.9 	3.7 	3.6 	3.6 	3.9 	3.6 	3.9 bp	3.0 bu
A,PC_EMP,DE3	10.5 	10.7 	10.1 	10.2 	10.4 	10.8 	9.9 bp	9.6 bp
A,PC_EMP,DE30	10.5 	10.7 	10.1 	10.2 	10.4 	10.8 	9.9 bp	9.6 bp
A,PC_EMP,DE4	2.7 	3.0 	2.9 	3.0 	3.2 	2.9 	3.0 bu	2.5 bu
A,PC_EMP,DE40	2.7 	3.0 	2.9 	3.0 	3.2 	2.9 	3.0 bu	2.5 bu
A,PC_EMP,DE5	4.9 	3.7 	4.0 	4.3 	4.4 	4.1 	: bu	: bu
A,PC_EMP,DE50	4.9 	3.7 	4.0 	4.3 	4.4 	4.1 	: bu	: bu
A,PC_EMP,DE6	8.1 	8.2 	7.9 	8.2 	7.9 	7.8 	7.5 bp	8.3 bp
A,PC_EMP,DE60	8.1 	8.2 	7.9 	8.2 	7.9 	7.8 	7.5 bp	8.3 bp
A,PC_EMP,DE7	4.1 	3.8 	3.9 	4.1 	3.9 	3.8 	3.5 bp	3.8 bp
A,PC_EMP,DE71	4.7 	4.4 	4.3 	4.5 	4.5 	4.3 	4.0 bp	4.3 bp
A,PC_EMP,DE72	3.5 	3.1 	3.0 	3.0 	2.4 	2.8 	: bu	: bu
A,PC_EMP,DE73	2.7 	2.5 	3.7 	3.8 	3.4 	3.0 	: bu	: bu
A,PC_EMP,DE8	2.8 	3.3 	2.8 	2.6 	2.7 	2.7 	: bu	: bu
A,PC_EMP,DE80	2.8 	3.3 	2.8 	2.6 	2.7 	2.7 	: bu	: bu
