Reference area,TIME_PERIOD,OBS_VALUE,UNIT_MULT
Australia,2016,78636.29153,3
Austria,2016,7842.578551,3
Belgium,2016,9206.894284,3
Canada,2016,53738.5576,3
Chile,2016,11969.4,3
Colombia,2016,49004.21922,3
Costa Rica,2016,2916.43,3
Czechia,2016,7707.699623,3
Denmark,2016,13081.26594,3
Estonia,2016,1423.022733,3
Finland,2016,6493.881693,3
France,2016,74688.12689,3
Germany,2016,62466.37884,3
Greece,2016,8157.389772,3
Hungary,2016,6857.164835,3
Iceland,2016,760.5408434,3
Ireland,2016,19909.30867,3
Israel,2016,2267.424464,3
Italy,2016,33803.70922,3
Japan,2016,33919.21254,3
Korea,2016,23539.24561,3
Latvia,2016,2163.266327,3
Lithuania,2016,4145.9665,3
Luxembourg,2016,725.5744421,3
Mexico,2016,127291.9223,3
Netherlands,2016,19421.1472,3
New Zealand,2016,42342.60402,3
Norway,2016,4833.197722,3
Poland,2016,32181.44342,3
Portugal,2016,6953.496177,3
Slovak Republic,2016,2357.622423,3
Slovenia,2016,1751.745299,3
Spain,2016,32954.77844,3
Sweden,2016,6397.089514,3
Switzerland,2016,6331.876617,3
Türkiye,2016,61689.92958,3
United Kingdom,2016,43733.19556,3
United States,2016,608866.8513,3
Australia,2020,73768.76599,3
Austria,2020,7568.286778,3
Belgium,2020,9031.355684,3
Canada,2020,55985.90816,3
Chile,2020,11237.74,3
Colombia,2020,58642.65588,3
Costa Rica,2020,3179,3
Czechia,2020,7438.514633,3
Denmark,2020,12963.83305,3
Estonia,2020,1544.833049,3
Finland,2020,6371.156787,3
France,2020,70442.56451,3
Germany,2020,58250.17344,3
Greece,2020,8421.266847,3
Hungary,2020,7097.588178,3
Iceland,2020,723.2685197,3
Ireland,2020,20872.00466,3
Israel,2020,2325.028468,3
Italy,2020,33792.44574,3
Japan,2020,33134.45415,3
Korea,2020,23091.11538,3
Latvia,2020,2250.414362,3
Lithuania,2020,4170.003799,3
Luxembourg,2020,724.8158066,3
Mexico,2020,132707.5995,3
Netherlands,2020,18439.0681,3
New Zealand,2020,42861.25154,3
Norway,2020,4771.740012,3
