exporter	importer	value	quantity
South Korea	Costa Rica	4622	0.46399999999999997
South Korea	Honduras	45	0.004
South Korea	Mexico	76573.00000000001	2.088
Turkey	Panama	250710.99999999997	24.665
Turkey	Trinidad and Tobago	34998.00000000001	6.6770000000000005
Turkey	United States	15495722	1723.654
Turkey	British Virgin Islands	128	0.046
Switzerland	Fiji	39681	1.045
Switzerland	Guam	113041	1.5590000000000002
Switzerland	New Caledonia	1027.0000000000002	0.012
Switzerland	New Zealand	104032.00000000001	2.9960000000000004
Switzerland	French Polynesia	8637	0.043
Switzerland	Vanuatu	3042	0.034
Switzerland	Argentina	45566	1.055
Switzerland	Bolivia	106699	1.704
Switzerland	Brazil	3043929	41.266999999999996
India	Maldives	816513.9999999999	76.431
India	Burma	174938	39.896
India	Mongolia	141	0.024
India	Malaysia	1017716	187.227
Qatar	Angola	5111.000000000001	0.301
Qatar	Cote d\'Ivoire	35	0.004
Qatar	Seychelles	12	0
Qatar	Uganda	205	0.040999999999999995
Qatar	United Arab Emirates	5395522	118.148
Qatar	Bahrain	1730.9999999999998	0.253
Qatar	China	5957.999999999999	0.172
Qatar	Hong Kong	1306889	20.541
Qatar	Indonesia	526	5.38
Qatar	Kuwait	118997.00000000001	1.9780000000000002
Qatar	Oman	397486.99999999994	19.16
Qatar	Saudi Arabia	245632.99999999997	24.750999999999998
Qatar	Singapore	73951.00000000001	3.635
Qatar	Thailand	236.00000000000003	0.001
Qatar	Turkey	20	0.006999999999999999
Qatar	Belgium	40.99999999999999	0.006999999999999999
Qatar	Czechia	1781	0.025
South Africa	Eswatini	1634712.0000000002	189.97099999999998
South Africa	Seychelles	15138	3.281
South Africa	Chad	3	0.002
South Africa	Tanzania	17993	9.203
Norway	Denmark	170479	1.111
Norway	Spain	3197	0.023
Norway	Estonia	6786.000000000001	0.051
China	Libya	657448	221.429
China	Lesotho	17	0.001
China	Morocco	12619936.000000002	4194.665
United Kingdom	Liberia	81233	8.472999999999999
United Kingdom	Libya	158319	12.452
United Kingdom	Morocco	258975.00000000003	7.585
United Kingdom	Mauritania	170207	2.364
United Kingdom	Mauritius	1191657	37.653
China	Poland	1839727.9999999998	225.787
China	Portugal	5138.999999999999	0.1
Chinese Taipei	Hong Kong	4763822	42.57899999999999
Chinese Taipei	Indonesia	5188	19.238
Portugal	Oman	861	0.008
Portugal	Pakistan	128	0.004
Portugal	Philippines	54692	2.3209999999999997
Portugal	Qatar	7761	1.054
Portugal	Saudi Arabia	50211.99999999999	0.303
Portugal	Singapore	26190	1.4380000000000002
Portugal	Thailand	3530	0.07400000000000001
Hong Kong	Paraguay	77883	1.598
Indonesia	Angola	32813	10.843
Indonesia	Cote d\'Ivoire	44824	56.278
Indonesia	Democratic Republic of the Congo	32850	20.12
Indonesia	Djibouti	600	0.02
Indonesia	Algeria	137817	12.529000000000002
Indonesia	Egypt	715	0.011000000000000001
Indonesia	Ethiopia	56475	2.3
Indonesia	Ghana	81753	42.868
Indonesia	Guinea	2200	21.8
Indonesia	Gambia	1171	0.131
Thailand	Portugal	89.00000000000001	0.002
Thailand	Romania	1838	0.156
Thailand	Russia	9511266	47.019
Thailand	Serbia	6779	0.013000000000000001
Thailand	Slovakia	46640	0.063
Thailand	Slovenia	2101	0.006999999999999999
Thailand	Sweden	49218	0.3
Austria	Mexico	2405	0.098
Bulgaria	Belarus	32975	0.308
Bulgaria	Switzerland	1926537	4.1080000000000005
Bulgaria	Czechia	1058033.9999999998	9.304
Bulgaria	Germany	13491502	136.096
Sweden	Norway	909576	30.58
Sweden	Poland	1763611	17.508
Slovakia	Seychelles	2369	1
Angola	Democratic Republic of the Congo	2077	1.9609999999999999
Angola	Republic of the Congo	107	0.2
Angola	Mozambique	4069	4.781000000000001
Angola	Namibia	302	0.26899999999999996
Angola	Sao Tome and Principe	322.99999999999994	0.122
Angola	United Arab Emirates	171981	0.9890000000000001
Angola	Indonesia	206.00000000000003	0.015
Angola	India	81	0.001
Netherlands	Senegal	4968	0.075
Netherlands	Somalia	56673	0.674
Netherlands	Seychelles	328.99999999999994	0.163
South Korea	El Salvador	66	0.002
South Korea	United States	3826406	97.34100000000001
