Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Man Loewe 2016 Eau de Parfum	Loewe	2016	Eau de Parfum	7.6	148	Woody, Spicy, Powdery, Creamy, Sweet	Cardamom, Calabrian mandarin orange, Italian bergamot	Carrot seed, Cypress, Cedar, Indian sandalwood, Vetiver	Ambrette, White musk, Indonesian patchouli, Violet	Emilio Valeros
Sunda 01 Nomad	Odin New York	2009	NA	7.6	133	Woody, Spicy, Citrus, Sweet, Fresh	Himalaya cedar leaf, Bergamot, Juniper berry	Heliotrope, Palmarosa, Black pepper	Indian sandalwood, Tonka bean, Grey musk	Kevin Verspoor, Drom
Bergamot, Tea Leaf, Sandal Wood	Rosendo Mateu - Olfactive Expressions	2015	NA	7.4	99	Citrus, Fresh, Green, Spicy, Floral	Bergamot, Green mandarin orange, Lime, Lavender, Sage, Rosemary, Thyme	Tea, Bitter orange blossom, Cardamom, Lily of the valley, Green pepper, Jasmine	Musk, Sandalwood, Orris root	Rosendo Mateu
and Only	The Dua Brand / Dua Fragrances	NA	NA	8.2	60	Woody, Spicy, Sweet, Fruity, Floral	NA	NA	NA	NA
Le Bateleur	Dolce & Gabbana	2009	NA	5.4	67	Fresh, Aquatic, Woody, Citrus, Green	NA	NA	NA	NA
Million Absolutely Gold	Paco Rabanne	2012	NA	7.4	146	Sweet, Spicy, Oriental, Woody, Gourmand	Peppermint, Red mandarin orange	Cinnamon, Rose absolute	Iris, Oud	NA
Million Cologne	Paco Rabanne	2015	NA	6.7	183	Synthetic, Fresh, Sweet, Fruity, Floral	Mandarin orange, Cardamom, Marine notes	Rose, Juniper berry, Cinnamon	Leather, Tonka bean, Patchouli	Olivier Pescheux, Michel Girard
Million Elixir	Paco Rabanne	2022	NA	7.7	390	Sweet, Fruity, Synthetic, Floral, Spicy	Apple, Davana	Tonka bean, Turkish rose, Osmanthus	Davana, Vanilla, Cedarwood, Patchouli	Christophe Raynaud, Quentin Bisch
Million Golden Oud	Paco Rabanne	2023	NA	8.1	85	Spicy, Oriental, Woody, Sweet, Leathery	Bergamot, Black pepper, Nutmeg, Saffron	Gurjum balsam, Patchouli, Sandalwood	Cedarwood, Cistus, Leather, Oud	NA
Million Intense	Paco Rabanne	2013	NA	6.8	163	Sweet, Spicy, Oriental, Gourmand, Fruity	Cardamom, Red mandarin orange, Black pepper, Saffron	Cinnamon, Neroli, Rose absolute	Sandalwood, Patchouli, Orris root, White leather	NA
Million Lucky	Paco Rabanne	2018	NA	7.9	629	Sweet, Fruity, Gourmand, Fresh, Woody	Greengage plum, Grapefruit, Ozonic notes	Hazelnut, Honey, Cashmere wood, Cedarwood, Jasmine	Vetiver, Oakmoss, Patchouli	Nathalie Gracia-Cetto
Million Paco Rabanne 2008 Eau de Toilette	Paco Rabanne	2008	Eau de Toilette	6.7	2633	Sweet, Spicy, Oriental, Synthetic, Fruity	Red mandarin orange, Peppermint	Cinnamon, Rose absolute	Amberketal, Leather	Christophe Raynaud, Olivier Pescheux, Michel Girard
Million Parfum	Paco Rabanne	2020	NA	7.4	486	Sweet, Synthetic, Floral, Fruity, Spicy	NA	NA	NA	Christophe Raynaud, Quentin Bisch
Million Privé	Paco Rabanne	2016	NA	7.9	555	Sweet, Spicy, Gourmand, Oriental, Woody	Cinnamon, Red mandarin orange	Shisha tobacco, Myrrh	Tonka bean absolute, Patchouli	Christophe Raynaud
Million Royal	Paco Rabanne	2023	NA	7.7	197	Sweet, Spicy, Woody, Synthetic, Gourmand	Cardamom, Mandarin orange, Bergamot	Lavender, Violet leaf, Sage	Benzoin, Patchouli, Cedarwood	Quentin Bisch, Christophe Raynaud
# Nota di Viaggio (Rites de Passage)	Meo Fusciuni	2010	NA	8	56	Spicy, Woody, Smoky, Earthy, Citrus	Black pepper, Bergamot, Grapefruit	Geranium, Rosewood, Ylang-ylang, Jasmine	Frankincense, Patchouli, Benzoin, Vetiver, Sandalwood	Giuseppe Imprezzabile a.k.a. Meo Fusciuni
A-33	J.F. Schwarzlose Berlin	2012	NA	7.7	392	Floral, Fresh, Citrus, Spicy, Fruity	Mandarin orange, Red pepper	Linden blossom, Jasmine sambac, Magnolia	Cedarwood, Iris	Véronique Nyberg
Cozé	Pierre Guillaume	2002	NA	7.3	161	Woody, Spicy, Earthy, Smoky, Gourmand	Indian hemp, Patchouli	Pimento, Nutmeg, Pepper, Cocoa	Blond tobacco, Bourbon vanilla, Precious woods	Pierre Guillaume
Owari	Odin New York	2009	NA	7.5	89	Citrus, Fresh, Spicy, Fruity, Woody	Japanese mandarin orange, Grapefruit leaf, Bergamot	Amyris, Cubeb, Neroli	Amber, Tonkin musk, Cedarwood	Pierre-Constantin Guéros
Wood	Dsquared²	2021	NA	7.7	127	Citrus, Woody, Fresh, Creamy, Spicy	Primofiore lemon, Citron, Pink pepper	Haitian vetiver, Nootka cypress, Silver fir	Musk, Vulcanolide, Vegetal amber	NA
# Nota di Viaggio (Shukran…)	Meo Fusciuni	1999	NA	6.9	56	Sweet, Floral, Creamy, Synthetic, Aquatic	Marine notes, Cardamom	Suntan lotion, Orange blossom, Coconut, Sourmilk	Vanilla, Amber, Vetiver	NA
Century	Odin New York	2009	NA	7.5	100	Woody, Spicy, Sweet, Powdery, Smoky	Cypress, Silver birch	Myrrh, Vetiver, Patchouli	Amber, Oakmoss, Black musk	Kevin Verspoor, Drom
Cuir Venenum	Pierre Guillaume	2004	NA	6	92	Leathery, Sweet, Spicy, Smoky, Fruity	Orange blossom, Lemon	Coconut	Leather, Musk, Myrrh	Pierre Guillaume
