ISO	Score	Rank	Political Context	Rank_Pol	Economic Context	Rank_Eco	Legal Context	Rank_Leg	Social Context	Rank_Soc	Safety	Rank_Saf	Country_EN
FIN	87.18	5	89.93	7	80.54	4	87.93	7	83.87	12	93.65	14	Finland
EST	89.46	2	90.87	4	79.4	5	90	3	91.61	1	95.41	5	Estonia
NLD	88.64	3	89.95	6	83.85	2	89.69	4	88.05	3	91.64	27	Netherlands
SWE	88.13	4	90.07	5	82.71	3	90.02	2	84.99	9	92.86	18	Sweden
LTU	82.27	14	80.76	17	68.84	15	83.23	18	85.39	8	93.12	16	Lithuania
DNK	86.93	6	91.13	3	78.46	7	86.78	8	83.85	13	94.43	8	Denmark
IRL	86.92	7	91.3	2	78.77	6	81.49	24	87.25	5	95.8	4	Ireland
PRT	84.26	8	88.77	8	65.83	20	86.16	9	86.74	6	93.81	13	Portugal
CHE	83.98	9	85.7	9	73.21	9	83.73	15	83.4	15	93.86	12	Switzerland
CZE	83.96	10	84.64	11	65.41	22	88.22	6	87.66	4	93.87	11	Czechia
NOR	92.31	1	96.22	1	87.32	1	91.96	1	90.03	2	96.03	2	Norway
LIE	83.42	12	80.23	18	67.33	18	89.16	5	84.51	10	95.87	3	Liechtenstein
LUX	83.04	13	83.34	12	67.99	17	80.87	28	86.36	7	96.62	1	Luxembourg
DEU	83.85	11	84.87	10	77.9	8	84.72	11	80.93	23	90.82	35	Germany
LVA	81.82	15	83.07	13	70.35	11	81.7	23	81.95	17	92.05	25	Latvia
NZL	81.37	16	78.27	20	72.15	10	80.76	29	83.53	14	92.15	23	New Zealand
ISL	81.36	17	82.24	15	65.71	21	81.12	25	82.93	16	94.82	7	Iceland
BEL	80.12	18	79.16	19	69.15	14	79.9	31	81.8	18	90.58	37	Belgium
TTO	79.71	19	71.48	28	69.97	12	78.64	32	84.12	11	94.34	9	Trinidad and Tobago
GBR	78.89	20	81.54	16	68.43	16	75.6	40	78.46	31	90.42	39	United Kingdom
CAN	78.75	21	82.97	14	63.27	24	81.73	22	78.11	33	87.66	55	Canada
AUT	78.12	22	72.59	24	64.73	23	81.97	20	78.77	30	92.55	19	Austria
ESP	77.35	23	72.46	26	58.06	34	83.24	17	81.51	20	91.5	28	Spain
TWN	77.04	24	72.91	23	58.16	33	80.29	30	80.51	26	93.32	15	Taiwan
FRA	76.62	25	75.42	22	63.13	26	80.92	27	77.8	34	85.8	66	France
JAM	75.83	26	64.24	38	66.67	19	76.19	38	80.88	24	91.15	31	Jamaica
ZAF	75.71	27	69.85	29	56.35	38	81.8	21	81.75	19	88.77	48	South Africa
NAM	75.35	28	66.12	32	59.19	31	84.41	13	75.71	43	91.32	29	Namibia
AUS	75.15	29	77.97	21	63.25	25	68.78	59	74.52	47	91.21	30	Australia
CPV	74.98	30	72.56	25	54.34	43	77.47	36	76.47	39	94.06	10	Cabo Verde
POL	74.79	31	64.68	35	62.89	27	74.55	43	80.82	25	91.03	32	Poland
SUR	74.49	32	62.37	42	69.66	13	73.13	47	76.59	38	90.71	36	Suriname
SVN	74.06	33	71.63	27	52.49	47	82.54	19	73.85	49	89.78	42	Slovenia
ARM	73.96	34	65.21	33	52.02	48	84.13	14	76.76	36	91.67	26	Armenia
MDA	73.36	35	63.7	39	56.9	36	78.18	35	81.1	22	86.9	59	Moldova
CRI	73.09	36	49.96	76	61.69	28	85	10	76.68	37	92.13	24	Costa Rica
