Exporter,Importer,Value,Weight
ABW,ARE,167.276,212.95
ABW,CAN,0.354,0.013
ABW,CHN,60.529,54.773
ABW,COL,11.247,2.997
ABW,DOM,2274.924,9646.27
ABW,GRD,31.747,8.804
ABW,GTM,643.46,1344.0
ABW,IDN,41.596,244.68
ABW,IND,193.78199999999998,112.0
ABW,IRL,5.529,0.812
ABW,JAM,0.5900000000000001,0.29000000000000004
ABW,JOR,4284.2080000000005,8452.587
ABW,KOR,83854.26,292764.0
ABW,KWT,12.633,0.007
ABW,MYS,15.651,101.74
ABW,NLD,1155.761,491.76
ABW,PAK,298.27700000000004,770.1120000000001
ABW,SAU,6.800000000000001,0.86
ABW,SVN,18.785,373.64
ABW,THA,823.189,3474.469
ABW,USA,659.4390000000001,20.5
AFG,ARE,571838.7769999999,23836.355999999996
AFG,ARM,0.212,0.002
AFG,AUS,726.914,400.828
AFG,AUT,413.8850000000001,134.11499999999998
AFG,AZE,31.057,169.8
AFG,BEL,83.86800000000001,33.441
AFG,BLR,88.0,60.0
AFG,BRN,15.062,2.155
AFG,BWA,0.059,0.011
AFG,CAN,1733.8519999999999,399.252
AFG,CHE,275.16200000000003,11.743000000000002
AFG,CHN,54141.669,10143.601
AFG,CRI,0.214,0.004
AFG,CYP,0.877,0.001
AFG,CZE,9.705,2.06
AFG,DEU,8505.376999999999,1877.914999999999
AFG,DNK,18.669999999999998,0.5630000000000001
AFG,DOM,0.067,0.082
AFG,ECU,402.48,242.938
AFG,EGY,566.9110000000001,168.54199999999997
AFG,ESP,1925.41,195.377
AFG,EST,3.423,1.73
AFG,ETH,6.567,5.495
AFG,FIN,700.487,0.8690000000000001
AFG,FRA,351.18600000000004,12.779000000000002
AFG,GBR,2639.6260000000007,752.836
AFG,GRC,8.315,2.6
AFG,HUN,8.383000000000001,0.017
AFG,IDN,271.541,3.595
AFG,IND,509638.76900000015,138070.73
AFG,IRL,9.363,25.717
AFG,ISL,0.164,0.001
AFG,ISR,64.0,11.125
AFG,ITA,3122.707,257.414
AFG,JAM,67.385,40.0
AFG,JOR,15468.304,1775.528
AFG,JPN,17.852,0.082
AFG,KAZ,1405.477,3271.01
AFG,KEN,3.398,0.977
AFG,KGZ,1.46,0.47
AFG,KOR,963.34,3036.006
AFG,KWT,1170.452,269.402
AFG,LBN,459.811,704.88
AFG,LKA,17.617,5.03
AFG,LTU,115.265,66.653
AFG,LUX,0.758,0.061
AFG,LVA,74.344,40.303
AFG,MAR,17.999,12.002
AFG,MDA,1.122,0.03
AFG,MDG,0.44599999999999995,0.487
AFG,MMR,31.431,43.93
AFG,MOZ,31.012,85.259
AFG,MUS,10.918,0.015
AFG,MYS,0.349,0.016
AFG,NLD,1473.319,695.1440000000002
AFG,NOR,82.35799999999999,12.709
AFG,PAK,514476.55800000014,1696016.5609999998
AFG,POL,787.619,73.467
AFG,PYF,0.147,0.035
AFG,QAT,142.701,11.58
AFG,ROU,453.699,137.678
AFG,RUS,3538.109,2313.435
AFG,SAU,26216.4,2618.2410000000004
AFG,SEN,399.84299999999996,566.98
AFG,SGP,21.123,8.273
AFG,SRB,0.037,0.001
AFG,SVK,14.403,21.47
AFG,SVN,7.523999999999999,2.5629999999999997
AFG,SWE,513.5369999999998,149.45399999999998
AFG,THA,76.734,150.355
AFG,TJK,164.695,309.367
AFG,TUR,25198.436,17761.190000000002
AFG,UKR,202.47000000000003,194.892
AFG,USA,4585.8200000000015,995.6689999999999
AFG,UZB,649.6980000000001,2005.941
AFG,ZAF,0.526,0.008
AGO,ARE,983095.151,2152.275
AGO,AZE,14.626,17.75
AGO,BEL,319668.28400000004,3497.7349999999997
AGO,BEN,705.081,1698.076
AGO,BFA,963.306,2247.122
AGO,BGR,37.944,50.18
AGO,BIH,1.185,0.5
AGO,BRA,197755.336,513644.17
AGO,CAN,0.079,0.014
AGO,CHE,0.391,0.03
AGO,CHL,75557.6,146649.0
AGO,CHN,14492430.200000001,43374535.886
AGO,COD,7141.745,30446.717
AGO,COG,294.51800000000003,1095.885
AGO,CPV,182.243,604.414
AGO,CZE,0.035,0.009
AGO,DEU,504.59,64.269
AGO,EGY,25.964,20.622
AGO,ESP,626436.8809999999,1858504.98
AGO,FRA,496336.729,1472748.3029999998
AGO,GBR,507.80299999999994,621.62
AGO,GMB,3.825,1.0
AGO,GRC,197.035,181.818
AGO,HKG,31.059,0.208
AGO,IDN,29382.14,94619.68699999999
AGO,IND,2020890.208,6425566.803
AGO,ITA,282003.409,720237.025
AGO,JPN,1812.434,1354.09
AGO,KEN,0.031,0.002
AGO,KOR,151080.26699999996,508592.79
AGO,LBN,25.063,18.0
AGO,LUX,0.034,0.03
AGO,MAR,10395.835,54407.768000000004
AGO,MNE,2.271,2.08
AGO,MOZ,344.098,290.877
AGO,MRT,1058.208,1946.4
AGO,MYS,70666.57900000001,125940.96100000001
AGO,NAM,733.276,840.4899999999999
AGO,NER,148.293,268.88
AGO,NLD,286844.94600000005,907303.664
AGO,NOR,109021.327,395883.028
AGO,PAK,11420.301000000001,61247.654
AGO,PHL,18971.769,39954.17
AGO,POL,2427.46,7683.196
AGO,PRT,441537.17500000005,1138851.574
AGO,PYF,5.034,0.8
AGO,SAU,112.183,100.392
AGO,SEN,5263.277,14602.97
AGO,SGP,379442.477,994681.8400000001
AGO,SVK,14.084999999999999,48.167
AGO,SVN,0.462,0.037
AGO,SWE,0.108,0.008
AGO,TGO,563.42,1024.18
AGO,THA,7563.979,3777.612
AGO,TUR,4227.338,22192.119
AGO,URY,213330.952,548057.758
AGO,USA,482940.706,1743396.19
AGO,VNM,8989.615000000002,16402.786
AGO,ZAF,56896.193,135927.606
AIA,ARM,2.209,0.1
AIA,CAN,0.041,0.002
AIA,CHL,15.261,53.964
AIA,GBR,2685.356,1376.8
AIA,GMB,2.5989999999999998,4.9
AIA,JAM,27.718,0.06
AIA,LVA,0.045,0.001
AIA,PAK,0.085,0.216
AIA,USA,68.61699999999999,74.58
ALB,ARE,7809.354000000001,54119.047
ALB,ARG,58.516000000000005,18.458
ALB,AUS,1170.387,831.8670000000001
ALB,AUT,14402.712604699998,12391.7543392
ALB,BEL,485.66999999999996,1537.301
ALB,BGR,27174.094289,46399.98134400001
ALB,BIH,14800.404236000004,44047.363152000005
ALB,BLR,78.4,32.266999999999996
ALB,BOL,3.2319999999999998,0.477
ALB,BRA,538.023,304.79200000000003
ALB,CAN,2529.6525,1704.7677
ALB,CHE,2011.3779399999996,1218.833744
ALB,CHL,96.822,54.0
ALB,CHN,54282.7359,227985.53496
ALB,CIV,384.515,325.15
ALB,COL,0.117,0.02
ALB,CRI,0.899,0.044
ALB,CYP,154.31300000000002,74.21900000000001
ALB,CZE,12742.952581999998,11518.447143
ALB,DEU,37566.3057,20060.6319536
ALB,DNK,724.2620000000001,394.227
ALB,DOM,10.17,2.295
ALB,ECU,0.357,0.049
ALB,EGY,6283.476000000001,17148.873
ALB,ESP,143062.9083,556984.77505
ALB,EST,294.25600000000003,878.8739999999999
ALB,FIN,0.617,0.066
ALB,FRA,4489.875693,15028.222240000001
ALB,GBR,7483.749999999999,4322.151
ALB,GEO,155.832,250.875
ALB,GRC,20705.635835999998,74629.78289569999
ALB,HKG,2617.103,22281.6
ALB,HRV,10304.260446,10290.328600000003
ALB,HUN,1597.2838099999992,2028.9116699999997
ALB,IDN,0.127,0.001
ALB,IND,4260.178000000001,2490.9700000000003
ALB,IRL,86.269,21.502000000000002
ALB,ISL,0.33099999999999996,0.013000000000000001
ALB,ISR,52.0,16.386000000000003
ALB,ITA,126211.60287480001,255922.39579469996
ALB,JOR,5.254,4.389
ALB,JPN,9203.559000000001,11644.945
ALB,KAZ,0.023,0.003
ALB,KGZ,6.189,0.048
ALB,KOR,854.4250000000001,616.8639999999999
ALB,KWT,10.327,2.2779999999999996
ALB,LBN,117.98,70.97300000000001
ALB,LKA,115.346,12.327
ALB,LTU,1117.0134600000001,2335.61625
ALB,LUX,21.965,6.741
ALB,LVA,784.22932,783.8620799999999
ALB,MAC,6.964,0.931
ALB,MAR,1982.7320000000002,6549.740000000001
ALB,MDA,430.71974,395.6838
ALB,MDG,0.852,0.24
ALB,MHL,361.307,2902.29
ALB,MKD,71600.52857,707848.8458760001
ALB,MLT,8268.528000000002,177726.529
ALB,MNE,34635.4903608,243571.65006303997
ALB,MYS,11732.27,13115.494
ALB,NLD,3647.791813,2614.0813799999996
ALB,NOR,78.27000000000002,59.05500000000001
ALB,NZL,25.582,2.765
ALB,PAK,72.339,630.223
ALB,PAN,67.067,28.843
ALB,POL,5800.615529999999,3967.0549200000005
ALB,PRT,518.364,192.988
ALB,PYF,0.052000000000000005,0.002
ALB,ROU,7288.253398999998,8284.6806
ALB,RUS,196.803,34.947
ALB,SAU,1061.065,590.487
ALB,SEN,279.734,406.839
ALB,SGP,6.54,1.433
ALB,SRB,104600.86013750001,519568.6903431001
ALB,SVK,1542.8783710000002,1787.5396189999997
ALB,SVN,1942.4041999999997,2040.7135469999996
ALB,SWE,4143.842289,2499.389919
ALB,THA,834.944,992.341
ALB,TUR,19504.008289999998,18432.175900000002
ALB,UKR,4879.53916,7873.5184899999995
ALB,URY,32.211,5.441
ALB,USA,24330.814843999997,7272.836149000001
ALB,ZAF,497.238,245.529
AND,ARE,3438.467,0.071
