Year,World Population,Built-up Area (HYDE (2017)),Grazing (HYDE (2017)),Cropland (HYDE (2017)),All fertilizers used,Arable land needed to produce a fixed quantity of crops,Build-up area per Capita,Grazing per Capita,Cropland per Capita,Humans Density/km2,Fertilizer used per Capita[t]
1500,450000000,995763.0,517941593.4,260650897.6,,,0.0022128066666666666,1.1509813186666666,0.5792242168888889,3.0317525550936812,
1600,500000000,1074621.0,583553328.8,272604722.7,,,0.002149242,1.1671066576,0.5452094453999999,3.3686139501040904,
1700,610000000,1209030.0,667884241.7,294475367.2,,,0.0019820163934426227,1.0948921995081968,0.48274650360655735,4.10970901912699,
1760,770000000,1739263.0,784189960.5,369358855.2,,,0.002258783116883117,1.0184285201298702,0.4796868249350649,5.187665483160299,
1804,1000000000,,,,,,,,,6.737227900208181,
1850,1200000000,3967214.0,1197335220.0,580494154.7,,,0.0033060116666666665,0.99777935,0.4837451289166667,8.084673480249817,
1900,1600000000,8880214.0,1663075111.0,843608693.0,,,0.00555013375,1.039421944375,0.527255433125,10.779564640333088,
1927,2000000000,,,,,,,,,13.474455800416361,
1951,2584034261,,,,,,,,,17.409227718303026,
1952,2630861562,,,,,,,,,17.724713917091673,
1953,2677608960,,,,,,,,,18.03966179115941,
1954,2724846741,,,,,,,,,18.357913487256532,
1955,2773019936,,,,,,,,,18.682467280652702,
1956,2822443282,,,,,,,,,19.015443626245546,
1957,2873306090,,,,,,,,,19.358117955386078,
1958,2925686705,,,,,,,,,19.71101809619414,
1959,2979576185,,,,,,,,,20.07408380437785,
1960,3034949748,21633083.0,3009719440.0,1366055362.0,,,0.00712798721437018,0.991686746043612,0.4501080661715128,20.447148117955386,
1961,3091843507,,,,52270359.0,1.0,,,,20.830454338437907,0.016905887662703106
1962,3150420795,,,,54356641.0,0.96842974,,,,21.225102877470036,0.01725377165052645
1963,3211001009,,,,57554831.0,0.95054287,,,,21.633245585431418,0.01792426437695959
1964,3273978338,,,,62064261.0,0.91331786,,,,22.057538203450807,0.018956833122455437
1965,3339583597,,,,67346098.0,0.9062633,,,,22.49953578478599,0.020166016523885808
1966,3407922630,,,,72248823.0,0.8741191,,,,22.95995142458684,0.021200253305046424
1967,3478769962,,,,76481835.0,0.8445573,,,,23.43726604639255,0.021985309702981733
1968,3551599127,,,,80413055.0,0.8274644,,,,23.927932728779417,0.022641365797362412
1969,3625680627,,,,83852031.0,0.83600783,,,,24.42703667746869,0.02312725240484895
