Year	World Population	"Density (P/Km²)"
2016	7464022049	50
2015	7379797139	50
2014	7295290765	49
2013	7210581976	48
2012	7125828059	48
2011	7041194301	47
2010	6956823603	47
2009	6872767093	46
2008	6789088686	46
2007	6705946610	45
2006	6623517833	44
2005	6541907027	44
2004	6461159389	43
2003	6381185114	43
2002	6301773188	42
2001	6222626606	42
2000	6143493823	41
1999	6064239055	41
1998	5984793942	40
1997	5905045788	40
1996	5824891951	39
1995	5744212979	39
1994	5663150427	38
1993	5581597546	37
1992	5498919809	37
1991	5414289444	36
1990	5327231061	36
1989	5237441558	35
1988	5145426008	35
1987	5052522147	34
1986	4960567912	33
1985	4870921740	33
1984	4784011621	32
1983	4699569304	32
1982	4617386542	31
1981	4536996762	30
1980	4458003514	30
1979	4380506100	29
1978	4304533501	29
1977	4229506060	28
1976	4154666864	28
1975	4079480606	27
1974	4003794172	27
1973	3927780238	26
1972	3851650245	26
1971	3775759617	25
1970	3700437046	25
1969	3625680627	24
1968	3551599127	24
1967	3478769962	23
1966	3407922630	23
1965	3339583597	22
1964	3273978338	22
1963	3211001009	22
1962	3150420795	21
1961	3091843507	21
1960	3034949748	20
1959	2979576185	20
1958	2925686705	20
1957	2873306090	19
1956	2822443282	19
1955	2773019936	19
1954	2724846741	18
1953	2677608960	18
1952	2630861562	18
1951	2584034261	17
1927	2000000000	
1900	1600000000	
1850	1200000000	
1804	1000000000	
1760	770000000	
1700	610000000	
1600	500000000	
1500	450000000	
