Reference area,Unit of measure,TIME_PERIOD,OBS_VALUE,UNIT_MULT
Australia,Hectares,1993,47561.539,3
Australia,Hectares,1994,48753.047,3
Australia,Hectares,1995,53517.871,3
Australia,Hectares,1996,77327.426,3
Australia,Hectares,1997,41448.601,3
Australia,Hectares,1998,45555.092,3
Australia,Hectares,1999,47004.436,3
Australia,Hectares,2000,48363.892,3
Australia,Hectares,2001,51630.362,3
Australia,Hectares,2002,49338.538,3
Australia,Hectares,2003,59842.363,3
Australia,Hectares,2004,63303.347,3
Australia,Hectares,2005,63823.577,3
Australia,Hectares,2006,58895.361,3
Australia,Hectares,2007,58689.973,3
Australia,Hectares,2008,89468.735,3
Australia,Hectares,2009,90810.019,3
Australia,Hectares,2010,87804.899,3
Australia,Hectares,2011,83205.666,3
Australia,Hectares,2012,78852.441,3
Australia,Hectares,2013,71135.189,3
Australia,Hectares,2014,77376.687,3
Australia,Hectares,2015,65275.962,3
Australia,Hectares,2016,61844.005,3
Australia,Hectares,2017,63681.818,3
Australia,Hectares,2018,64809.793,3
Australia,Hectares,2019,64349.901,3
Australia,Hectares,2020,65286.012,3
Australia,Hectares,2021,73966.462,3
Austria,Hectares,1993,1497,3
Austria,Hectares,1994,1498,3
Austria,Hectares,1995,1489,3
Austria,Hectares,1996,1488.7,3
Austria,Hectares,1997,1479.5,3
Austria,Hectares,1998,1467.7,3
Austria,Hectares,1999,1466.4,3
Austria,Hectares,2000,1462.8,3
Austria,Hectares,2001,1456.2,3
Austria,Hectares,2002,1455.6,3
Austria,Hectares,2003,1456.5,3
Austria,Hectares,2004,1450.5,3
Austria,Hectares,2005,1451.9,3
Austria,Hectares,2006,1450,3
Austria,Hectares,2007,1448.7,3
Austria,Hectares,2008,1439.1,3
Austria,Hectares,2009,1436.6,3
Austria,Hectares,2010,1430.09,3
Austria,Hectares,2011,1425,3
Austria,Hectares,2012,1420.43,3
Austria,Hectares,2013,1419.28,3
Austria,Hectares,2014,1417.03,3
Austria,Hectares,2015,1413.53,3
Austria,Hectares,2016,1405.17,3
Austria,Hectares,2017,1396.76,3
Austria,Hectares,2018,1395.04,3
Austria,Hectares,2019,1393.42,3
Austria,Hectares,2020,1390.75,3
Austria,Hectares,2021,1392.51,3
Belgium,Hectares,1993,842.5,3
Belgium,Hectares,1994,961.4,3
Belgium,Hectares,1995,889,3
Belgium,Hectares,1996,875.3,3
Belgium,Hectares,1997,869.9,3
Belgium,Hectares,1998,877.1,3
Belgium,Hectares,1999,876.7,3
Belgium,Hectares,2000,887.7,3
Belgium,Hectares,2001,866.9,3
Belgium,Hectares,2002,854.4,3
Belgium,Hectares,2003,854.3,3
Belgium,Hectares,2004,861.6,3
Belgium,Hectares,2005,864.6,3
Belgium,Hectares,2006,862.9,3
Belgium,Hectares,2007,860.8,3
Belgium,Hectares,2008,866.9,3
Belgium,Hectares,2009,861.4,3
Belgium,Hectares,2010,854.71,3
Belgium,Hectares,2011,844.53,3
Belgium,Hectares,2012,822.7,3
Belgium,Hectares,2013,836.42,3
Belgium,Hectares,2014,837.49,3
Belgium,Hectares,2015,854.92,3
Belgium,Hectares,2016,874.52,3
Belgium,Hectares,2017,861.31,3
Belgium,Hectares,2018,876.45,3
Belgium,Hectares,2019,883.24,3
Belgium,Hectares,2020,890.96,3
Belgium,Hectares,2021,892.04,3
Canada,Hectares,1993,44989.502,3
Canada,Hectares,1994,45671.492,3
Canada,Hectares,1995,45121.422,3
Canada,Hectares,1996,47552.484,3
Canada,Hectares,1997,47802.918,3
Canada,Hectares,1998,47729.532,3
Canada,Hectares,1999,47154.173,3
Canada,Hectares,2000,47820.836,3
Canada,Hectares,2001,38075.555,3
Canada,Hectares,2002,33823.665,3
Canada,Hectares,2003,38272.61,3
Canada,Hectares,2004,36788.758,3
Canada,Hectares,2005,37240.073,3
Canada,Hectares,2006,36933.307,3
Canada,Hectares,2007,37564.536,3
Canada,Hectares,2008,37530.277,3
Canada,Hectares,2009,36198.956,3
Canada,Hectares,2010,36487.848,3
Canada,Hectares,2011,36948.638,3
Canada,Hectares,2012,37268.328,3
Canada,Hectares,2013,37451.217,3
Canada,Hectares,2014,37145.081,3
Canada,Hectares,2015,36424.334,3
Canada,Hectares,2016,36048.082,3
Canada,Hectares,2017,37410.691,3
Canada,Hectares,2018,37493.461,3
Canada,Hectares,2019,36806.562,3
Canada,Hectares,2020,37128.957,3
Canada,Hectares,2021,36344.465,3
Chile,Hectares,1993,2577,3
Chile,Hectares,1994,2550,3
Chile,Hectares,1995,2400,3
Chile,Hectares,1996,2300,3
Chile,Hectares,1997,2297,3
Chile,Hectares,1998,2294,3
Chile,Hectares,1999,2130,3
Chile,Hectares,2000,2110,3
Chile,Hectares,2001,2150,3
Chile,Hectares,2002,2065,3
Chile,Hectares,2003,1925,3
Chile,Hectares,2004,1935,3
Chile,Hectares,2005,1885,3
Chile,Hectares,2006,1800,3
Chile,Hectares,2007,1719,3
Chile,Hectares,2008,1769,3
Chile,Hectares,2009,1767,3
Chile,Hectares,2010,1728,3
Chile,Hectares,2011,1774,3
Chile,Hectares,2012,1740,3
Chile,Hectares,2013,1766,3
Chile,Hectares,2014,1746.2,3
Chile,Hectares,2015,1770,3
Chile,Hectares,2016,1726.8,3
Chile,Hectares,2017,1742,3
Chile,Hectares,2018,1680,3
Chile,Hectares,2019,1656,3
Chile,Hectares,2020,1695,3
Colombia,Hectares,1993,4820,3
Colombia,Hectares,1994,4782,3
Colombia,Hectares,1995,4430,3
Colombia,Hectares,1996,4096,3
Colombia,Hectares,1997,4257,3
Colombia,Hectares,1998,4377,3
Colombia,Hectares,1999,4364,3
Colombia,Hectares,2000,4545,3
Colombia,Hectares,2001,4135,3
Colombia,Hectares,2002,3736,3
Colombia,Hectares,2003,3749,3
Colombia,Hectares,2004,3708,3
Colombia,Hectares,2005,3613,3
Colombia,Hectares,2006,3369.3,3
Colombia,Hectares,2007,3570,3
Colombia,Hectares,2008,3461,3
Colombia,Hectares,2009,3354,3
Colombia,Hectares,2010,3353,3
Colombia,Hectares,2011,3409,3
Colombia,Hectares,2012,3453,3
Colombia,Hectares,2013,3448,3
Colombia,Hectares,2014,3540.7,3
Colombia,Hectares,2015,3633.5,3
Colombia,Hectares,2016,3726.2,3
Colombia,Hectares,2017,9892,3
Colombia,Hectares,2018,9892,3
Colombia,Hectares,2019,9872,3
Colombia,Hectares,2020,8738.545,3
Costa Rica,Hectares,1993,500,3
Costa Rica,Hectares,1994,520,3
Costa Rica,Hectares,1995,510,3
Costa Rica,Hectares,1996,495,3
Costa Rica,Hectares,1997,490,3
Costa Rica,Hectares,1998,490,3
Costa Rica,Hectares,1999,500,3
Costa Rica,Hectares,2000,490,3
Costa Rica,Hectares,2001,490,3
Costa Rica,Hectares,2002,490,3
Costa Rica,Hectares,2003,500,3
Costa Rica,Hectares,2004,500,3
Costa Rica,Hectares,2005,490,3
Costa Rica,Hectares,2006,505,3
Costa Rica,Hectares,2007,500,3
Costa Rica,Hectares,2008,500,3
Costa Rica,Hectares,2009,530,3
Costa Rica,Hectares,2010,540,3
Costa Rica,Hectares,2011,547,3
Costa Rica,Hectares,2012,547,3
Costa Rica,Hectares,2013,551,3
Costa Rica,Hectares,2014,544,3
Costa Rica,Hectares,2015,558.5,3
Costa Rica,Hectares,2016,577.5,3
Costa Rica,Hectares,2017,579.5,3
Costa Rica,Hectares,2018,582.5,3
Costa Rica,Hectares,2019,575.5,3
Costa Rica,Hectares,2020,561.5,3
Czechia,Hectares,1993,3409,3
Czechia,Hectares,1994,3395,3
Czechia,Hectares,1995,3378,3
Czechia,Hectares,1996,3377,3
Czechia,Hectares,1997,3367.6,3
Czechia,Hectares,1998,3308.3,3
Czechia,Hectares,1999,3329.2,3
Czechia,Hectares,2000,3322.66,3
Czechia,Hectares,2001,3308.74,3
Czechia,Hectares,2002,2813.21,3
Czechia,Hectares,2003,2793.38,3
Czechia,Hectares,2004,2773.28,3
Czechia,Hectares,2005,2752.75,3
Czechia,Hectares,2006,2676.56,3
Czechia,Hectares,2007,2664.56,3
Czechia,Hectares,2008,2638.56,3
Czechia,Hectares,2009,2620.7,3
Czechia,Hectares,2010,2587.82,3
Czechia,Hectares,2011,2562.31,3
Czechia,Hectares,2012,2558.15,3
Czechia,Hectares,2013,2547.3,3
Czechia,Hectares,2014,2535.05,3
Czechia,Hectares,2015,2535.93,3
Czechia,Hectares,2016,2540.22,3
Czechia,Hectares,2017,2543.18,3
Czechia,Hectares,2018,2533.12,3
Czechia,Hectares,2019,2531.82,3
Czechia,Hectares,2020,2534.26,3
Czechia,Hectares,2021,2524.28,3
Denmark,Hectares,1993,2513.1,3
Denmark,Hectares,1994,2517.8,3
Denmark,Hectares,1995,2508.9,3
Denmark,Hectares,1996,2810.3,3
Denmark,Hectares,1997,2788.9,3
Denmark,Hectares,1998,2808.1,3
Denmark,Hectares,1999,2826.5,3
Denmark,Hectares,2000,2483.3,3
Denmark,Hectares,2001,2503.8,3
Denmark,Hectares,2002,2488.6,3
Denmark,Hectares,2003,2455.5,3
Denmark,Hectares,2004,2480.1,3
Denmark,Hectares,2005,2490.1,3
Denmark,Hectares,2006,2484.9,3
Denmark,Hectares,2007,2460.8,3
Denmark,Hectares,2008,2464.2,3
Denmark,Hectares,2009,2416.4,3
Denmark,Hectares,2010,2453.2,3
Denmark,Hectares,2011,2459.69,3
Denmark,Hectares,2012,2441.27,3
Denmark,Hectares,2013,2432.3,3
