Reference area,MEASURE,TIME_PERIOD,OBS_VALUE
Australia,TOTPEST,1990,17866.679
Australia,TOTPEST,1991,17866.679
Australia,TOTPEST,1992,22235.394
Australia,TOTPEST,1993,23898.779
Australia,TOTPEST,1994,21056.736
Australia,TOTPEST,1995,25598.141
Australia,TOTPEST,1996,31185.35
Australia,TOTPEST,1997,34091.813
Australia,TOTPEST,1998,37215.035
Australia,TOTPEST,1999,34200
Australia,TOTPEST,2000,33475.362
Australia,TOTPEST,2001,32709.67
Australia,TOTPEST,2002,26650.45
Australia,TOTPEST,2003,32417.64
Australia,TOTPEST,2004,36276.799
Australia,TOTPEST,2005,34309.929
Australia,TOTPEST,2006,35901.135
Australia,TOTPEST,2007,32446.242
Australia,TOTPEST,2008,42935.38
Australia,TOTPEST,2009,38065.69
Australia,TOTPEST,2010,42169.394
Australia,TOTPEST,2011,47632.985
Australia,TOTPEST,2012,48687.875
Australia,TOTPEST,2013,45177.187
Australia,TOTPEST,2014,49857.349
Australia,TOTPEST,2015,50921.602
Australia,TOTPEST,2016,63416.482
Australia,TOTPEST,2017,59634.002
Australia,TOTPEST,2018,165981
Australia,TOTPEST,2019,204246
Austria,TOTPEST,2011,3448.274
Austria,TOTPEST,2012,3557.023
Austria,TOTPEST,2013,3097.442
Austria,TOTPEST,2014,3373.223
Austria,TOTPEST,2015,3777.617
Austria,TOTPEST,2016,4361.487
Austria,TOTPEST,2017,4624.882
Austria,TOTPEST,2018,5279.544
Austria,TOTPEST,2019,4954.458
Austria,TOTPEST,2020,5566.034
Austria,TOTPEST,2021,5790.56
Belgium,TOTPEST,2011,6925.523
Belgium,TOTPEST,2012,7358.176
Belgium,TOTPEST,2013,6847.853
Belgium,TOTPEST,2014,7643.321
Belgium,TOTPEST,2015,6868.051
Belgium,TOTPEST,2016,6946.733
Belgium,TOTPEST,2017,6489.097
Belgium,TOTPEST,2018,6635.248
Belgium,TOTPEST,2019,6126.492
Belgium,TOTPEST,2020,5391.957
Belgium,TOTPEST,2021,5555.485
Canada,TOTPEST,2008,52810
Canada,TOTPEST,2009,53723
Canada,TOTPEST,2010,60148
Canada,TOTPEST,2011,62045
Canada,TOTPEST,2012,72566
Canada,TOTPEST,2013,80612
Canada,TOTPEST,2014,75122
Canada,TOTPEST,2015,74059
Canada,TOTPEST,2016,89762
Canada,TOTPEST,2017,96954
Canada,TOTPEST,2018,86259
Canada,TOTPEST,2019,77546
Canada,TOTPEST,2020,91566
Canada,TOTPEST,2021,96043
Chile,TOTPEST,2001,24139
Chile,TOTPEST,2002,28012.63
Chile,TOTPEST,2003,27454.489
Chile,TOTPEST,2004,22603
Chile,TOTPEST,2005,60328.163
Chile,TOTPEST,2006,57855.969
Chile,TOTPEST,2007,58833
Chile,TOTPEST,2008,54980.122
Chile,TOTPEST,2009,45160.685
Chile,TOTPEST,2010,44024.96
Chile,TOTPEST,2011,45768.038
Chile,TOTPEST,2012,38864.057
Chile,TOTPEST,2013,35353.96
Colombia,TOTPEST,1990,18058.29
Colombia,TOTPEST,1991,16817
Colombia,TOTPEST,1992,15305.94
Colombia,TOTPEST,1993,14961.81
Colombia,TOTPEST,1994,17051.34
Colombia,TOTPEST,1995,20156.23
Colombia,TOTPEST,1996,18131
Colombia,TOTPEST,1997,16005
Colombia,TOTPEST,1998,60687
Colombia,TOTPEST,1999,66088
Colombia,TOTPEST,2000,75843
Colombia,TOTPEST,2001,85515.3
Colombia,TOTPEST,2002,84023.26
Colombia,TOTPEST,2003,88772.15
Colombia,TOTPEST,2004,105514.19
Colombia,TOTPEST,2005,117881.45
Colombia,TOTPEST,2006,98328.63
Colombia,TOTPEST,2007,82439.06
Colombia,TOTPEST,2008,48538.97
Colombia,TOTPEST,2009,51435.13
Colombia,TOTPEST,2010,48618.46
Colombia,TOTPEST,2011,53797
Colombia,TOTPEST,2012,48727.73
Colombia,TOTPEST,2013,54563.38
Colombia,TOTPEST,2014,73744.34
Colombia,TOTPEST,2015,33689.3
Colombia,TOTPEST,2016,32392
Colombia,TOTPEST,2017,37699
Colombia,TOTPEST,2018,37773
Colombia,TOTPEST,2019,69862
Colombia,TOTPEST,2020,36711
Costa Rica,TOTPEST,1990,1447.15
Costa Rica,TOTPEST,1991,1447.15
Costa Rica,TOTPEST,1992,1447.15
Costa Rica,TOTPEST,1993,1447.15
Costa Rica,TOTPEST,1994,1475.13
Costa Rica,TOTPEST,1995,1503.12
Costa Rica,TOTPEST,1996,2747.79
Costa Rica,TOTPEST,1997,4104.66
Costa Rica,TOTPEST,1998,7898
Costa Rica,TOTPEST,1999,17029
Costa Rica,TOTPEST,2000,14283
Costa Rica,TOTPEST,2001,10704
Costa Rica,TOTPEST,2002,11982.37
Costa Rica,TOTPEST,2003,11334.74
Costa Rica,TOTPEST,2004,11524.1
Costa Rica,TOTPEST,2005,11309.47
Costa Rica,TOTPEST,2006,11198.84
Costa Rica,TOTPEST,2007,12746.56
Costa Rica,TOTPEST,2008,13317
Costa Rica,TOTPEST,2009,12306.67
Costa Rica,TOTPEST,2010,14241.84
Costa Rica,TOTPEST,2011,12811.25
Costa Rica,TOTPEST,2012,12575.54
Costa Rica,TOTPEST,2013,12339.82
Costa Rica,TOTPEST,2014,12104.11
Costa Rica,TOTPEST,2015,11868.4
Costa Rica,TOTPEST,2016,11632.69
Costa Rica,TOTPEST,2017,11396.97
Costa Rica,TOTPEST,2018,10284.52
Costa Rica,TOTPEST,2019,11866.02
Costa Rica,TOTPEST,2020,14113.7
Czechia,TOTPEST,2011,7049.23
Czechia,TOTPEST,2012,6515.062
Czechia,TOTPEST,2013,6188.564
Czechia,TOTPEST,2014,5663.374
Czechia,TOTPEST,2015,6310.835
Czechia,TOTPEST,2016,5942.725
Czechia,TOTPEST,2017,5248.376
Czechia,TOTPEST,2018,5178.116
Czechia,TOTPEST,2019,5052.758
Czechia,TOTPEST,2020,4359.751
Czechia,TOTPEST,2021,4479.836
Denmark,TOTPEST,2011,4549.462
Denmark,TOTPEST,2012,5959.044
Denmark,TOTPEST,2013,4197.102
Denmark,TOTPEST,2014,1821.895
Denmark,TOTPEST,2015,2583.747
Denmark,TOTPEST,2016,2586.881
Denmark,TOTPEST,2017,2706.105
Denmark,TOTPEST,2018,2646.126
Denmark,TOTPEST,2019,2660.866
Denmark,TOTPEST,2020,3167.46
Denmark,TOTPEST,2021,2974.53
Estonia,TOTPEST,2011,458.689
Estonia,TOTPEST,2012,551.551
Estonia,TOTPEST,2013,567.368
Estonia,TOTPEST,2014,595.991
Estonia,TOTPEST,2015,609.179
Estonia,TOTPEST,2016,709.784
Estonia,TOTPEST,2017,700.079
Estonia,TOTPEST,2018,636.074
Estonia,TOTPEST,2019,745.154
Estonia,TOTPEST,2020,632.591
Estonia,TOTPEST,2021,877.477
Finland,TOTPEST,2011,3018.844
Finland,TOTPEST,2012,3145.504
Finland,TOTPEST,2013,3273.822
Finland,TOTPEST,2014,3579.863
Finland,TOTPEST,2015,4130.529
Finland,TOTPEST,2016,4591.602
Finland,TOTPEST,2017,4365.909
Finland,TOTPEST,2018,4901.621
Finland,TOTPEST,2019,4034.153
Finland,TOTPEST,2020,4916.941
Finland,TOTPEST,2021,4099.763
France,TOTPEST,2011,61262.338
France,TOTPEST,2012,63909.622
France,TOTPEST,2013,66757.42
France,TOTPEST,2014,74873.617
France,TOTPEST,2015,66629.333
France,TOTPEST,2016,72076.247
France,TOTPEST,2017,70458.871
France,TOTPEST,2018,83983.125
France,TOTPEST,2019,54303.708
France,TOTPEST,2020,64743.288
France,TOTPEST,2021,69444.294
Germany,TOTPEST,2009,38761.619
Germany,TOTPEST,2010,40835.898
