ISO	Score	Rank	Political Context	Rank_Pol	Economic Context	Rank_Eco	Legal Context	Rank_Leg	Social Context	Rank_Soc	Safety	Rank_Saf	Country_EN
NOR	92.65	1	94.89	1	90.38	1	92.23	1	93.71	2	92.03	11	Norway
DNK	90.27	2	94.34	2	83.67	3	89.18	4	91.17	9	92.97	7	Denmark
SWE	88.84	3	91.96	3	87.66	2	90.27	3	90.18	12	84.14	32	Sweden
EST	88.83	4	91.11	5	81.97	6	87.87	5	90	13	93.2	6	Estonia
FIN	88.42	5	90.4	6	82.03	5	86.64	9	90.77	10	92.26	10	Finland
IRL	88.3	6	89.24	9	79.08	8	85.09	14	92.5	4	95.58	2	Ireland
PRT	87.07	7	91.86	4	77.41	9	84.21	18	93.14	3	88.73	18	Portugal
CRI	85.92	8	81.62	17	72.96	11	87.72	6	92.5	4	94.78	3	Costa Rica
LTU	84.14	9	87.01	11	72.16	13	84.46	16	89.71	16	87.37	23	Lithuania
LIE	84.03	10	80.36	20	68.78	19	84.74	15	89.8	14	96.46	1	Liechtenstein
NZL	83.54	11	90.15	7	75.26	10	74.78	54	89.75	15	87.76	21	New Zealand
JAM	83.35	12	74.85	32	71.94	14	82.46	24	95	1	92.52	8	Jamaica
SYC	83.33	13	80.45	19	69.13	18	85.31	13	90.25	11	91.5	13	Seychelles
CHE	82.72	14	90	8	68.37	21	80.99	29	88.33	21	85.92	27	Switzerland
ISL	82.69	15	86.21	13	65.56	28	82.68	23	87.5	23	91.5	13	Iceland
DEU	82.04	16	87.03	10	80.07	7	87.08	8	89.47	17	66.58	91	Germany
TLS	81.89	17	85.45	14	68.71	20	85.96	11	75.67	65	93.65	5	East Timor
NAM	81.84	18	72.97	37	69.8	17	82.98	22	91.6	8	91.84	12	Namibia
CAN	81.74	19	82.27	16	71.17	16	80.26	33	92	6	82.99	37	Canada
CZE	80.54	20	79.66	22	61.56	36	84.21	18	88.44	20	88.81	17	Czech Republic
LUX	79.81	21	82.94	15	66.33	27	72.93	60	88.71	19	88.14	20	Luxembourg
LVA	79.17	22	78.96	24	64.58	29	80.89	30	87.36	25	84.06	33	Latvia
